,SKU,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
0,11333,$304.00,$359.99
1,11334,$329.00,$339.00
2,11335,$304.00,$315.00
3,11336,$334.00,$364.99
4,11337,$334.00,$364.99
5,11338,$156.00,$278.00
6,11340,$949.00,$3500.00
7,11342,$349.00,$499.00
8,11343,$228.00,$289.99
9,11344,$95.00,$115.00
10,11345,$626.00,$699.99
11,11346,$499.97,$1099.00
12,11347,$158.00,$1200.00
13,11348,$255.00,$325.55
14,11349,$239.00,$249.00
15,11350,$225.00,$232.89
16,11351,$449.98,$475.00
17,11352,$320.00,$411.00
18,11353,$349.95,$375.00
19,11354,$325.00,$390.00
20,11355,$390.00,$390.00
21,11356,$250.00,$259.99
22,11357,$383.00,$385.00
23,11358,$499.00,$650.00
24,11359,$119.00,$127.00
25,11360,$139.00,$140.00
26,11361,$79.99,$127.00
27,11362,$132.00,$175.00
28,11363,$96.95,$129.94
29,11364,$120.00,$139.00
30,11365,$425.00,$475.00
31,11366,$425.00,$475.00
32,11367,$350.00,$443.00
33,11368,$395.00,$455.00
34,11369,$435.00,$450.00
35,11370,$509.00,$525.00
36,11371,$873.00,$875.00
37,11372,$899.00,$1050.00
38,11373,$398.00,$479.00
39,11374,$59.00,$65.00
40,11376,$295.00,$304.00
41,11377,$185.00,$199.00
42,11378,$180.00,$215.00
43,11379,$119.99,$162.00
44,11380,$158.00,$200.00
45,11381,$120.00,$125.00
46,11382,$210.00,$217.00
47,11383,$312.00,$315.00
48,11384,$150.00,$218.00
49,11385,$540.00,$599.00
50,11386,$125.00,$269.98
51,11388,$260.00,$297.00
52,11389,$316.00,$354.00
53,11390,$189.00,$194.99
54,11391,$189.00,$194.99
55,11392,$199.00,$239.00
56,11393,$159.00,$179.95
57,11394,$165.00,$169.00
58,11395,$285.00,$311.00
59,11397,$171.00,$219.99
60,11398,"195,761?","206,947?"
61,11399,$189.98,$190.00
62,11400,$215.00,$215.00
63,11401,$108.95,$109.00
64,11402,$162.00,$175.00
65,11403,$209.00,$209.00
66,11404,$130.00,$155.00
67,11405,$269.94,$275.00
68,11406,$225.00,$228.00
69,11407,$114.98,$119.00
70,11408,$163.89,$245.00
71,11409,$219.00,$228.00
72,11410,$206.00,$209.00
73,11411,$129.00,$129.00
74,11412,$135.00,$140.00
75,11413,$195.00,$195.00
76,11414,$45.00,$69.00
77,11415,$234.00,$245.00
78,11416,$74.95,$144.00
79,11417,$525.00,$525.00
80,11418,$585.00,$849.00
81,11419,$819.00,$825.00
82,11420,$407.00,$425.00
83,11421,$300.00,$325.00
84,11422,$215.00,$219.00
85,11423,$188.00,$221.00
86,11424,$177.00,$177.00
87,11425,$195.00,$197.00
88,11426,$159.00,$219.00
89,11427,$375.00,$380.00
90,11428,$129.94,$133.00
91,11429,$200.00,$210.00
92,11430,$239.00,$241.00
93,11431,$179.00,$235.00
94,11432,$199.00,$245.00
95,11433,$278.00,$284.00
96,11434,$189.00,$202.00
97,11435,$399.99,$506.75
98,11436,$621.00,$625.00
99,11437,$399.98,$400.00
100,11438,$500.00,$1099.00
101,11439,$799.00,$875.00
102,11440,$399.00,$895.00
103,11441,$695.00,$810.00
104,11442,$514.99,$750.00
105,11444,$550.00,$750.00
106,11445,$550.00,$750.00
107,11446,$799.00,$889.00
108,11448,$898.00,$1333.33
109,11449,$725.00,$725.00
110,11451,$845.00,$846.00
111,11452,$835.00,$863.00
112,11453,$425.00,$435.00
113,11454,$899.00,$899.00
114,11455,$895.99,$899.00
115,11456,$599.00,$633.00
116,11458,$392.00,$899.99
117,11459,$75.00,$83.00
118,11460,$449.00,$450.00
119,11461,$459.00,$495.00
120,11463,$557.00,$650.00
121,11464,$535.00,$560.00
122,11465,$789.00,$795.00
123,11466,$724.99,$999.00
124,11467,$475.00,$475.00
125,11468,$480.00,$495.00
126,11469,$549.99,$550.00
127,11470,$549.00,$575.00
128,11471,$549.00,$869.00
129,11472,$300.00,$348.00
130,11473,$149.94,$149.99
131,11476,$185.00,$190.00
132,11477,$152.00,$159.98
133,11478,$133.00,$140.00
134,11479,$389.00,$400.00
135,11480,$459.00,$481.00
136,11481,$327.97,$345.00
137,11482,$139.00,$144.95
138,11483,$139.00,$144.95
139,11484,$170.00,$195.00
140,11485,$170.00,$195.00
141,11486,$300.00,$309.00
142,11487,$299.00,$299.00
143,11488,$175.00,$175.00
144,11489,$179.99,$188.00
145,11491,$248.99,$275.00
146,11492,$123.95,$198.98
147,11493,$319.00,$331.99
148,11494,$325.00,$350.00
149,11495,$139.00,$170.00
150,11496,$185.00,$195.00
151,11497,$139.97,$230.00
152,11498,$109.95,$134.00
153,11499,$160.00,$195.00
154,11500,$345.00,$375.00
155,11501,$137.00,$175.00
156,11502,$139.00,$164.00
157,11503,$124.95,$135.00
158,11505,$175.00,$179.00
159,11506,$135.00,$139.00
160,11507,$177.00,$185.00
161,11508,$999.00,$1000.00
162,11509,$450.00,$475.00
163,11510,$315.00,$493.00
164,11511,$390.00,$495.00
165,11512,$799.99,$825.00
166,11513,$495.00,$499.00
167,11514,$485.00,$495.00
168,11515,$395.00,$475.89
169,11516,$450.00,$500.00
170,11517,$848.00,$848.00
171,11518,$675.00,$789.99
172,11519,$200.00,$280.00
173,11520,$325.00,$463.65
174,11522,$147.00,$159.00
175,11523,$190.00,$195.00
176,11524,$209.99,$225.00
177,11525,$162.00,$162.00
178,11526,$288.00,$288.00
179,11527,$234.95,$241.00
180,11528,$1099.00,$1199.00
181,11529,$425.00,$425.00
182,11530,$449.00,$545.00
183,11531,$419.99,$479.00
184,11532,$495.00,$499.00
185,11533,$449.00,$450.00
186,11534,$525.00,$545.00
187,11535,$685.00,$695.00
188,11536,$685.00,$695.00
189,11537,$575.00,$579.00
190,11539,$499.00,$538.89
191,11540,$250.00,$259.00
192,11541,$340.00,$349.00
193,11542,$225.00,$234.00
194,11543,$199.99,$248.00
195,11544,$139.00,$159.00
196,11545,$175.00,$188.95
197,11546,$127.00,$160.00
198,11547,$205.00,$209.00
199,11548,$170.00,$177.98
200,11549,$170.00,$177.98
201,11550,$206.00,$218.00
202,11551,$250.00,$275.00
203,11552,$475.00,$479.00
204,11553,$244.95,$260.00
205,11554,$180.00,$215.00
206,11555,$269.00,$324.00
207,11556,$390.00,$395.00
208,11557,$385.00,$385.00
209,11559,$139.00,$145.00
210,11560,$1895.00,$2176.00
211,11561,$6319.00,$7528.89
212,11562,$2525.00,$2530.00
213,11563,$2300.00,$2395.00
214,11564,$3200.00,$3400.00
215,11565,$133.13,$135.00
216,11566,$139.00,$165.00
217,11567,$119.00,$132.00
218,11568,$99.00,$177.00
219,11570,$245.00,$245.00
220,11571,$190.00,$190.00
221,11572,$73.00,$88.00
222,11573,$73.00,$88.00
223,11574,$224.95,$228.00
224,11575,$142.00,$151.00
225,11576,$150.00,$152.00
226,11577,$129.00,$162.00
227,11578,$120.00,$129.00
228,11579,$114.95,$129.00
229,11580,$152.00,$155.00
230,11581,$74.98,$137.00
231,11582,$105.00,$149.99
232,11583,$209.00,$209.00
233,11584,$129.99,$209.00
234,11585,$75.00,$81.95
235,11586,$139.00,$145.00
236,11587,$129.00,$130.00
237,11588,$236.00,$249.00
238,11589,$155.00,$155.00
239,11590,"139,829?","144,304?"
240,11592,$158.00,$163.00
241,11593,$389.00,$395.00
242,11594,$325.00,$329.00
243,11595,$99.00,$184.94
244,11596,$194.94,$196.00
245,11597,$202.00,$219.95
246,11598,$169.00,$175.00
247,11599,$145.00,$185.00
248,11600,$240.00,$247.00
249,11601,$182.00,$219.65
250,11603,$135.00,$247.00
251,11604,$395.00,$449.99
252,11605,$430.00,$499.99
253,11606,$158.00,$191.00
254,11607,$239.00,$329.99
255,11608,$333.33,$506.00
256,11609,$455.00,$473.99
257,11610,$470.00,$475.00
258,11611,$152.00,$990.00
259,11612,$145.00,$274.97
260,11613,$149.99,$166.00
261,11614,$109.00,$180.00
262,11615,$259.99,$274.94
263,11616,$455.00,$459.98
264,11618,$299.95,$316.00
265,11619,$221.00,$350.00
266,11620,$145.00,$152.00
267,11621,$215.00,$229.00
268,11622,$485.00,$499.00
269,11624,$500.00,$525.00
270,11625,$750.00,$949.00
